product_id,product_name,brand,category,gender,size,price,link,image_url,hashtag,style1,style2,style3
6551491,무한상사 반팔,infinitechallenge,상의,여성,XS,39000,https://www.musinsa.com/products/6551491,https://image.msscdn.net/thumbnails/images/goods_img/20260527/6551491/6551491_17798491342726_500.jpg,"반팔티, 반소매티셔츠, 반팔, 반팔티셔츠, 반소매, 그래픽티셔츠, 오버핏반팔",스트리트,페미닌,리조트
6551491,무한상사 반팔,infinitechallenge,상의,여성,S,39000,https://www.musinsa.com/products/6551491,https://image.msscdn.net/thumbnails/images/goods_img/20260527/6551491/6551491_17798491342726_500.jpg,"반팔티, 반소매티셔츠, 반팔, 반팔티셔츠, 반소매, 그래픽티셔츠, 오버핏반팔",스트리트,페미닌,리조트
6551491,무한상사 반팔,infinitechallenge,상의,여성,M,39000,https://www.musinsa.com/products/6551491,https://image.msscdn.net/thumbnails/images/goods_img/20260527/6551491/6551491_17798491342726_500.jpg,"반팔티, 반소매티셔츠, 반팔, 반팔티셔츠, 반소매, 그래픽티셔츠, 오버핏반팔",스트리트,페미닌,리조트
6551491,무한상사 반팔,infinitechallenge,상의,여성,L,39000,https://www.musinsa.com/products/6551491,https://image.msscdn.net/thumbnails/images/goods_img/20260527/6551491/6551491_17798491342726_500.jpg,"반팔티, 반소매티셔츠, 반팔, 반팔티셔츠, 반소매, 그래픽티셔츠, 오버핏반팔",스트리트,페미닌,리조트
6551491,무한상사 반팔,infinitechallenge,상의,여성,XL,39000,https://www.musinsa.com/products/6551491,https://image.msscdn.net/thumbnails/images/goods_img/20260527/6551491/6551491_17798491342726_500.jpg,"반팔티, 반소매티셔츠, 반팔, 반팔티셔츠, 반소매, 그래픽티셔츠, 오버핏반팔",스트리트,페미닌,리조트
6551491,무한상사 반팔,infinitechallenge,상의,여성,2XL,39000,https://www.musinsa.com/products/6551491,https://image.msscdn.net/thumbnails/images/goods_img/20260527/6551491/6551491_17798491342726_500.jpg,"반팔티, 반소매티셔츠, 반팔, 반팔티셔츠, 반소매, 그래픽티셔츠, 오버핏반팔",스트리트,페미닌,리조트
6448424,[젠플록스X르아브] [2PACK] 플록스 에어로쿨 크롭 티셔츠,learve,상의,공용,XS,44000,https://www.musinsa.com/products/6448424,https://image.msscdn.net/thumbnails/images/goods_img/20260508/6448424/6448424_17800335733146_500.jpg,"반소매티셔츠, 반팔티, 반팔티셔츠, 반소매, 여름반팔, 크롭티, 머슬핏",스포티,스트리트,모던
6448424,[젠플록스X르아브] [2PACK] 플록스 에어로쿨 크롭 티셔츠,learve,상의,공용,S,44000,https://www.musinsa.com/products/6448424,https://image.msscdn.net/thumbnails/images/goods_img/20260508/6448424/6448424_17800335733146_500.jpg,"반소매티셔츠, 반팔티, 반팔티셔츠, 반소매, 여름반팔, 크롭티, 머슬핏",스포티,스트리트,모던
6448424,[젠플록스X르아브] [2PACK] 플록스 에어로쿨 크롭 티셔츠,learve,상의,공용,M,44000,https://www.musinsa.com/products/6448424,https://image.msscdn.net/thumbnails/images/goods_img/20260508/6448424/6448424_17800335733146_500.jpg,"반소매티셔츠, 반팔티, 반팔티셔츠, 반소매, 여름반팔, 크롭티, 머슬핏",스포티,스트리트,모던
6448424,[젠플록스X르아브] [2PACK] 플록스 에어로쿨 크롭 티셔츠,learve,상의,공용,L,44000,https://www.musinsa.com/products/6448424,https://image.msscdn.net/thumbnails/images/goods_img/20260508/6448424/6448424_17800335733146_500.jpg,"반소매티셔츠, 반팔티, 반팔티셔츠, 반소매, 여름반팔, 크롭티, 머슬핏",스포티,스트리트,모던
6448424,[젠플록스X르아브] [2PACK] 플록스 에어로쿨 크롭 티셔츠,learve,상의,공용,XL,44000,https://www.musinsa.com/products/6448424,https://image.msscdn.net/thumbnails/images/goods_img/20260508/6448424/6448424_17800335733146_500.jpg,"반소매티셔츠, 반팔티, 반팔티셔츠, 반소매, 여름반팔, 크롭티, 머슬핏",스포티,스트리트,모던
